iot_id,observation_type,lat,lon
14460,car,53.59241,9.932807
14464,car,53.550114,9.968238
14468,car,53.628773,10.141947
14472,car,53.61523,10.018057
14476,car,53.615168,10.01795
14480,car,53.630062,10.141543
12604,bike,53.628733,9.931627
14484,car,53.630126,10.141439
14488,car,53.629914,10.140042
14492,car,53.629853,10.139934
14496,car,53.629028,10.138763
14500,car,53.628938,10.13876
14504,car,53.557544,10.033142
14508,car,53.557634,10.033144
14512,car,53.543591,10.15239
14516,car,53.542679,10.152803
14520,car,53.543266,10.150646
14524,car,53.602457,9.985726
14528,car,53.611741,10.001149
14532,car,53.604128,9.988047
14536,car,53.615292,10.018164
14540,car,53.643832,9.928541
14544,car,53.582094,10.019406
14548,car,53.559449,10.025897
14552,car,53.581992,9.979933
14556,car,53.612161,10.009987
14560,car,53.603827,9.986468
14564,car,53.650862,9.907347
14568,car,53.57958,10.057333
14572,car,53.559206,10.027008
14576,car,53.579995,10.056241
14580,car,53.55838,10.025856
14584,car,53.579424,10.013103
14588,car,53.552301,10.03552
14592,car,53.586471,9.969734
14596,car,53.522057,10.015128
14600,car,53.605583,10.167801
14604,car,53.584622,9.969374
14608,car,53.592589,9.932811
14612,car,53.500315,9.991255
14616,car,53.584191,9.970497
14620,car,53.419568,9.981205
14624,car,53.567912,9.969279
14628,car,53.567975,9.969386
14632,car,53.584017,9.968635
14636,car,53.466751,9.80714
14640,car,53.501022,9.991664
14644,car,53.567223,9.968976
14648,car,53.583577,9.984033
14652,car,53.583493,9.970043
14656,car,53.500777,9.990844
14660,car,53.475246,9.996457
14664,car,53.50048,9.991937
14668,car,53.574224,9.835615
14672,car,53.582739,9.933712
14676,car,53.574486,9.838006
14680,car,53.547992,10.106112
14684,car,53.631814,9.9274
14688,car,53.628615,9.931821
14692,car,53.546929,10.106432
14696,car,53.559536,9.948978
14700,car,53.629587,9.931767
14704,car,53.548299,10.107977
14708,car,53.558443,9.948455
14712,car,53.483428,9.991841
14716,car,53.482682,9.991824
14720,car,53.557941,9.949485
14724,car,53.606031,10.167919
14728,car,53.547163,10.108279
14732,car,53.580176,10.058103
14736,car,53.582917,9.974531
14740,car,53.457121,9.979465
14744,car,53.607081,10.117269
14748,car,53.629341,9.929826
14752,car,53.585682,10.119786
14756,car,53.475301,10.177194
14760,car,53.561181,9.824004
14764,car,53.585204,9.737928
14768,car,53.541211,10.029983
14772,car,53.56785,9.969172
14776,car,53.607984,10.1169
14780,car,53.607517,10.115875
14784,car,53.62982,10.026333
14788,car,53.634153,10.01576
14792,car,53.635056,10.016311
14796,car,53.634359,10.016869
14800,car,53.629118,10.138765
14804,car,53.629998,10.141647
14808,car,53.628466,10.140215
14812,car,53.628402,10.140319
14816,car,53.628529,10.14011
14820,car,53.629976,10.140149
14824,car,53.652972,10.106438
14828,car,53.654392,10.107413
14832,car,53.642466,9.927316
14836,car,53.598878,9.991415
14840,car,53.618547,10.079503
14844,car,53.619566,10.081132
14848,car,53.575414,10.036281
14852,car,53.584784,10.033822
14856,car,53.557454,10.03314
14860,car,53.444434,9.955414
14864,car,53.520101,10.001913
14868,car,53.575979,10.034347
15720,car,53.665946,9.991158
15724,car,53.666036,9.99116
15728,car,53.666126,9.991162
15732,car,53.653802,10.108079
15736,car,53.635223,9.92236
15740,car,53.635286,9.92247
15744,car,53.558813,9.989422
15748,car,53.558811,9.989573
15752,car,53.558814,9.989271
15756,car,53.55966,10.066574
15760,car,53.559749,10.066577
15764,car,53.646264,9.932467
15768,car,53.646328,9.932363
15772,car,53.646201,9.932572
15776,car,53.555708,9.935064
15780,car,53.555798,9.935066
15784,car,53.555618,9.935062
15788,car,53.621868,9.88521
